Date,Mkt-RF,SMB,HML,RF,Mkt
19710211,0.0052,0.0025,0.0046,0.00017,0.00537
19710212,0.0059,0.0057,-0.0002,0.00017,0.00607
19710216,0.0024,0.0004,-0.0005,0.00017,0.00257
19710217,-0.0048,-0.0012,0.0032,0.00017,-0.00463
19710218,-0.0068,-0.0026,0.0023,0.00017,-0.00663
19710219,-0.0093,-0.0052,0.0019,0.00017,-0.00913
19710222,-0.0106,-0.0085,-0.0034,0.00017,-0.01043
19710223,0.005,0.0052,-0.004,0.00017,0.00517
19710224,0.0074,0.0054,-0.0033,0.00017,0.00757
19710225,0.0016,-0.0022,0.0012,0.00017,0.00177
19710226,-0.0025,-0.0024,-0.0042,0.00017,-0.00233
19710301,0.003,0.0023,-0.0026,0.00013,0.00313
19710302,0.0005,0.0034,0.0017,0.00013,0.00063
19710303,0.0001,0.0029,-0.0019,0.00013,0.00023
19710304,0.0105,0.0036,-0.0038,0.00013,0.01063
19710305,0.0106,0.0025,-0.0025,0.00013,0.01073
19710308,0.0048,0.0049,-0.0041,0.00013,0.00493
19710309,0.0014,0.0048,-0.0042,0.00013,0.00153
19710310,-0.0012,0.0018,-0.0043,0.00013,-0.00107
19710311,-0.0002,-0.0044,0.0035,0.00013,-0.00007
19710312,0.0016,-0.0014,-0.0012,0.00013,0.00173
19710315,0.0114,0.0021,-0.0036,0.00013,0.01153
19710316,0.0046,-0.0016,-0.0015,0.00013,0.00473
19710317,0.0001,-0.0003,-0.0045,0.00013,0.00023
19710318,0.0011,0.0043,-0.0008,0.00013,0.00123
19710319,-0.0018,0,-0.0001,0.00013,-0.00167
19710322,-0.004,-0.0019,0.001,0.00013,-0.00387
19710323,-0.0033,0.0014,-0.0009,0.00013,-0.00317
19710324,-0.0061,-0.0001,-0.0002,0.00013,-0.00597
19710325,0.0002,-0.0004,-0.0006,0.00013,0.00033
19710326,0.0038,0.0019,-0.0019,0.00013,0.00393
19710329,0.0008,-0.0025,-0.0017,0.00013,0.00093
19710330,0.0021,-0.0009,-0.0014,0.00013,0.00223
19710331,0.0009,0.0024,-0.0014,0.00013,0.00103
19710401,0.0006,-0.0001,-0.0018,0.00013,0.00073
19710402,0.002,0.0005,-0.0032,0.00013,0.00213
19710405,0.0017,-0.0008,0.001,0.00013,0.00183
19710406,0.0059,-0.0022,-0.0002,0.00013,0.00603
19710407,0.0043,-0.0003,0.0036,0.00013,0.00443
19710408,0.0014,0.0013,0.0006,0.00013,0.00153
19710412,0.0067,-0.0018,-0.0005,0.00013,0.00683
19710413,0.0004,-0.0001,-0.0003,0.00013,0.00053
19710414,0.0035,0.0018,0.0034,0.00013,0.00363
19710415,0.0014,-0.0018,0.0055,0.00013,0.00153
19710416,0,-0.0008,0.0041,0.00013,0.00013
19710419,0.0041,-0.0034,0.0009,0.00013,0.00423
19710420,-0.0049,-0.0048,0.0002,0.00013,-0.00477
19710421,-0.0027,0.0002,-0.0009,0.00013,-0.00257
19710422,0.0029,0.0007,0.0013,0.00013,0.00303
19710423,0.005,0.0017,-0.003,0.00013,0.00513
19710426,0,0.0055,0.001,0.00013,0.00013
19710427,0.0044,0.0013,-0.0018,0.00013,0.00453
19710428,0.0034,0.001,-0.0027,0.00013,0.00353
19710429,-0.0025,-0.0039,-0.0002,0.00013,-0.00237
19710430,-0.0065,0.0014,-0.0002,0.00013,-0.00637
19710503,-0.0057,0.0023,-0.0021,0.00015,-0.00555
19710504,0.0055,0.0019,-0.0006,0.00015,0.00565
19710505,-0.0003,-0.0008,-0.0017,0.00015,-0.00015
19710506,-0.0058,-0.0037,0.0004,0.00015,-0.00565
19710507,-0.0032,-0.0012,-0.0012,0.00015,-0.00305
19710510,-0.0049,-0.0021,0.0019,0.00015,-0.00475
19710511,0.0029,-0.0004,0.0014,0.00015,0.00305
19710512,0.0023,-0.0014,-0.0013,0.00015,0.00245
19710513,-0.002,0.0007,-0.0042,0.00015,-0.00185
19710514,-0.0042,0.0015,0.0008,0.00015,-0.00405
19710517,-0.0152,-0.0042,0.0021,0.00015,-0.01505
19710518,0.0005,-0.0024,-0.0021,0.00015,0.00065
19710519,0.0023,-0.0016,0.0004,0.00015,0.00245
19710520,0.0025,0.0008,-0.0018,0.00015,0.00265
19710521,-0.0035,-0.0005,-0.0009,0.00015,-0.00335
19710524,-0.0083,-0.0002,-0.0027,0.00015,-0.00815
19710525,-0.0065,-0.0011,-0.0032,0.00015,-0.00635
19710526,0.0015,0.0007,-0.0009,0.00015,0.00165
19710527,-0.0011,-0.0006,0,0.00015,-0.00095
19710528,0.0027,0.0021,0,0.00015,0.00285
19710601,0.0061,-0.0006,-0.0007,0.00017,0.00627
19710602,0.0084,0.0032,-0.0021,0.00017,0.00857
